ACENTE_ADI,TOPLAM_PRIM
AEH SİGORTA ACENTELİĞİ A.Ş.,406369475.079995
TÜRKİYE İŞ BANKASI A.Ş. BİREYSEL BANKACILIK ÜRÜN BÖLÜMÜ,398063558.789995
AON SİGORTA VE REASÜRANS BROKERLİĞİ A.Ş.,375326979.789993
